Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 13:44:53.509,0,0,0,0,False,8,car,0 days 00:59:52.416000,0 days 00:59:52.416000
2019-09-07 13:44:53.749,0,0,0,0,False,8,car,0 days 00:59:52.656000,0 days 00:59:52.656000
2019-09-07 13:44:53.989,0,0,0,0,False,8,car,0 days 00:59:52.896000,0 days 00:59:52.896000
2019-09-07 13:44:54.229,0,0,0,0,False,8,car,0 days 00:59:53.136000,0 days 00:59:53.136000
2019-09-07 13:44:54.469,0,0,0,0,False,8,car,0 days 00:59:53.376000,0 days 00:59:53.376000
2019-09-07 13:44:54.709,0,0,0,0,False,8,car,0 days 00:59:53.616000,0 days 00:59:53.616000
2019-09-07 13:44:54.949,0,0,0,0,False,8,car,0 days 00:59:53.856000,0 days 00:59:53.856000
2019-09-07 13:44:55.189,0,0,0,0,False,8,car,0 days 00:59:54.096000,0 days 00:59:54.096000
2019-09-07 13:44:55.429,0,0,0,0,False,8,car,0 days 00:59:54.336000,0 days 00:59:54.336000
2019-09-07 13:44:55.669,0,0,0,0,False,8,car,0 days 00:59:54.576000,0 days 00:59:54.576000
2019-09-07 13:44:55.949,0,0,0,0,False,8,car,0 days 00:59:54.856000,0 days 00:59:54.856000
2019-09-07 13:44:56.189,0,0,0,0,False,8,car,0 days 00:59:55.096000,0 days 00:59:55.096000
2019-09-07 13:44:56.429,0,0,0,0,False,8,car,0 days 00:59:55.336000,0 days 00:59:55.336000
2019-09-07 13:44:56.668,0,0,0,0,False,8,car,0 days 00:59:55.575000,0 days 00:59:55.575000
2019-09-07 13:44:56.908,0,0,0,0,False,8,car,0 days 00:59:55.815000,0 days 00:59:55.815000
2019-09-07 13:44:57.148,0,0,0,0,False,8,car,0 days 00:59:56.055000,0 days 00:59:56.055000
2019-09-07 13:44:57.388,0,0,0,0,False,8,car,0 days 00:59:56.295000,0 days 00:59:56.295000
2019-09-07 13:44:57.628,0,0,0,0,False,8,car,0 days 00:59:56.535000,0 days 00:59:56.535000
2019-09-07 13:44:57.868,0,0,0,0,False,8,car,0 days 00:59:56.775000,0 days 00:59:56.775000
2019-09-07 13:44:58.108,0,0,0,0,False,8,car,0 days 00:59:57.015000,0 days 00:59:57.015000
2019-09-07 13:44:58.349,0,0,0,0,False,8,car,0 days 00:59:57.256000,0 days 00:59:57.256000
2019-09-07 13:44:58.589,0,0,0,0,False,8,car,0 days 00:59:57.496000,0 days 00:59:57.496000
2019-09-07 13:44:58.829,0,0,0,0,False,8,car,0 days 00:59:57.736000,0 days 00:59:57.736000
2019-09-07 13:44:59.069,0,0,0,0,False,8,car,0 days 00:59:57.976000,0 days 00:59:57.976000
2019-09-07 13:44:59.309,0,0,0,0,False,8,car,0 days 00:59:58.216000,0 days 00:59:58.216000
2019-09-07 13:44:59.549,0,0,0,0,False,8,car,0 days 00:59:58.456000,0 days 00:59:58.456000
2019-09-07 13:44:59.789,0,0,0,0,False,8,car,0 days 00:59:58.696000,0 days 00:59:58.696000
2019-09-07 13:45:00.029,0,0,0,0,False,8,car,0 days 00:59:58.936000,0 days 00:59:58.936000
2019-09-07 13:45:00.309,0,0,0,0,False,8,car,0 days 00:59:59.216000,0 days 00:59:59.216000
2019-09-07 13:45:00.549,0,0,0,0,False,8,car,0 days 00:59:59.456000,0 days 00:59:59.456000
2019-09-07 13:45:00.789,0,0,0,0,False,8,car,0 days 00:59:59.696000,0 days 00:59:59.696000
2019-09-07 13:45:01.029,0,0,0,0,False,8,car,0 days 00:59:59.936000,0 days 00:59:59.936000
2019-09-07 13:45:01.269,0,0,0,0,False,8,car,0 days 01:00:00.176000,0 days 01:00:00.176000
2019-09-07 13:45:01.509,0,0,0,0,False,8,car,0 days 01:00:00.416000,0 days 01:00:00.416000
2019-09-07 13:45:01.749,0,0,0,0,False,8,car,0 days 01:00:00.656000,0 days 01:00:00.656000
2019-09-07 13:45:01.989,0,0,0,0,False,8,car,0 days 01:00:00.896000,0 days 01:00:00.896000
2019-09-07 13:45:02.229,0,0,0,0,False,8,car,0 days 01:00:01.136000,0 days 01:00:01.136000
2019-09-07 13:45:02.469,0,0,0,0,False,8,car,0 days 01:00:01.376000,0 days 01:00:01.376000
2019-09-07 13:45:02.709,0,0,0,0,False,8,car,0 days 01:00:01.616000,0 days 01:00:01.616000
2019-09-07 13:45:02.949,0,0,0,0,False,8,car,0 days 01:00:01.856000,0 days 01:00:01.856000
2019-09-07 13:45:03.189,0,0,0,0,False,8,car,0 days 01:00:02.096000,0 days 01:00:02.096000
2019-09-07 13:45:03.469,0,0,0,0,False,8,car,0 days 01:00:02.376000,0 days 01:00:02.376000
